what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.m2e.discovery,1.0.200.20111228-1245,"org.eclipse.m2e.discovery",1333025111548
started,bundle,org.eclipse.wb.core.lib,1.3.0.r37x201202052311,"org.eclipse.wb.core.lib",1333025111623
started,bundle,org.eclipse.wb.core,1.3.0.r37x201202052311,"org.eclipse.wb.core",1333025111671
started,bundle,com.google.gdt.eclipse.designer,2.5.0.r37x201202061313,"com.google.gdt.eclipse.designer",1333025111679
started,bundle,com.google.gdt.eclipse.designer.GXT,2.5.0.r37x201202061331,"com.google.gdt.eclipse.designer.GXT",1333025111685
started,bundle,com.google.gdt.eclipse.designer.SmartGWT,2.5.0.r37x201202061331,"com.google.gdt.eclipse.designer.SmartGWT",1333025111689
started,bundle,com.google.gdt.eclipse.designer.UiBinder,2.5.0.r37x201202061313,"com.google.gdt.eclipse.designer.UiBinder",1333025111713
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333025125542
started,bundle,org.eclipse.jgit,1.1.0.201109151100-r,"org.eclipse.jgit",1333025129891
started,bundle,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui",1333025129983
started,bundle,org.eclipse.egit.core,1.1.0.201109151100-r,"org.eclipse.egit.core",1333025130018
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1333025132069
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1333025132085
error,log,,,"Invalid project description.",1333025152897
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333025161213
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1333025161298
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1333025161299
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333025168006
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333025192151
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333025192308
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1333025193123
stopped,bundle,overlay.com.android.ide.eclipse.adt.overlay,16.0.1.v201112150204-238534,"overlay.com.android.ide.eclipse.adt.overlay",1333025193145
stopped,bundle,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.adt",1333025193145
stopped,bundle,org.eclipse.pde.ua.ui,1.0.100.v20110516,"org.eclipse.pde.ua.ui",1333025193177
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1333025193190
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20110516,"org.eclipse.pde.ds.ui",1333025193205
stopped,bundle,org.eclipse.scout.nls.sdk.services,3.8.0.201201250657,"org.eclipse.scout.nls.sdk.services",1333025193221
stopped,bundle,org.eclipse.scout.nls.sdk.simple,3.8.0.201201250657,"org.eclipse.scout.nls.sdk.simple",1333025193227
stopped,bundle,org.eclipse.scout.sdk.ws.jaxws,3.8.0.201201250657,"org.eclipse.scout.sdk.ws.jaxws",1333025193239
stopped,bundle,org.eclipse.scout.sdk.ui,3.8.0.201201250657,"org.eclipse.scout.sdk.ui",1333025193239
stopped,bundle,org.eclipse.scout.sdk,3.8.0.201201250657,"org.eclipse.scout.sdk",1333025193241
stopped,bundle,org.eclipse.scout.nls.sdk,3.8.0.201201250657,"org.eclipse.scout.nls.sdk",1333025193244
